id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
CHICAGO,0.049573667,0.050723307,0.05094763,0.051265538,0.050110158,0.05105038,0.0499103,0.04906205,0.05123224,0.050940514,0.050708733,0.04997272,0.050385363,0.050403815,0.050190013,0.050417066
VEGETARIAN,0.056850623,0.05699019,0.057447635,0.058319025,0.05665218,0.0559627,0.058174893,0.055301487,0.056082167,0.056142777,0.05738689,0.05700375,0.058220126,0.05708337,0.058281034,0.05749511
STAFF,0.029204335,0.028969446,0.02906321,0.02861439,0.02920591,0.02924871,0.028932683,0.029020999,0.029603172,0.02925951,0.029402437,0.028861888,0.02897428,0.02897182,0.029155299,0.029279035
DIETARY RESTRICTIONS,0.06655891,0.06672999,0.065948576,0.06694263,0.06564845,0.064710796,0.06687574,0.06404681,0.06569357,0.06642659,0.0673133,0.06712388,0.06728209,0.06853345,0.067088895,0.06678545
WINE PAIRINGS,0.03831467,0.039226346,0.04036229,0.040014707,0.039578043,0.03998016,0.039532997,0.038951617,0.04019098,0.03931395,0.04018917,0.040201724,0.03968984,0.039911747,0.040292885,0.039846253
MOLECULAR GASTRONOMY,0.035157323,0.035501767,0.035900354,0.035461225,0.035211757,0.03524426,0.03389315,0.03491892,0.035408992,0.034479287,0.034975596,0.035550226,0.036070794,0.035465304,0.035307854,0.03558051
TEST TUBE,0.10522363,0.10540955,0.10467174,0.10575387,0.10205405,0.101123,0.10781177,0.09888049,0.102273345,0.10383376,0.10464642,0.10563685,0.107131295,0.10486412,0.106291935,0.10482191
FACEBOOK,0.05282393,0.053570967,0.054593608,0.05473613,0.052352253,0.052071422,0.0545308,0.051847927,0.0539642,0.05316534,0.05415832,0.055567645,0.054955408,0.054500528,0.05438976,0.05411848
ELEVEN MADISON PARK,0.11386494,0.11666497,0.11697183,0.11648385,0.11402391,0.11252691,0.120247796,0.111327216,0.117155164,0.11550835,0.1156832,0.1164102,0.11808286,0.11929043,0.11867331,0.11786632
SOMMELIER,0.031422816,0.031036496,0.031537138,0.031683315,0.03189748,0.031154897,0.032133304,0.030460801,0.03145492,0.031639937,0.030911881,0.031675454,0.031898197,0.031631075,0.032374717,0.03254545
